Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
0,98.37176192046637,1.4022281287159009,82.33930263052578,80.98104555791258,73.2709737734224
1,39.35386561693873,16.845442959823096,130.8353377745197,178.26467175830612,172.107229240328
2,13.62795990944465,30.12534447230083,140.74569777949029,177.1769304971526,172.9213324000573
3,72.93657390073365,11.83296555492329,126.12905400223546,174.00851776061285,158.98678708574252
4,14.946913017274708,15.028985422683009,179.85143511333916,177.26727749128042,178.10675559115143
5,77.9628316478106,49.71867653580961,160.0010146032146,169.1554782159679,175.71959004822256
6,173.31041670940985,164.28298884992742,164.02795338407984,168.10341663264913,178.42412967046118
7,149.32859408916391,179.67656242221264,154.9576902340331,169.16168663849024,178.03455301015222
8,129.2532308885183,136.971010296842,173.30157276388402,177.81750659581428,173.54694262281654
9,147.70421224124678,149.72001705769654,179.50586538640886,176.02852662655275,175.2884510907074
10,171.90369007742908,165.26479846979862,170.51144454472467,177.21415058357982,177.73735995949667
