Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,151.99837858635271,14.758486989976607,26.985617084571714,144.70202321356308,157.00872433604215
2,149.9160191813246,16.72097842745433,32.21954375384071,148.25721976708476,156.04118653093755
3,152.58182900930672,18.37039535534695,31.92578978656045,149.34927851808274,155.39005110506804
4,148.52434225723917,18.329391613950033,37.115099541783216,151.05766209792193,154.7492190489718
5,155.43407081520874,24.00796239223068,37.37569026156125,153.31582697914803,152.0769863055556
6,156.33842226148641,23.971244760144916,37.303091209954644,154.68309250308852,151.65163865746095
7,92.5349156070241,31.653904572981652,110.06322643550172,155.97446819864126,150.626695932043
8,73.55244027712675,31.289942089716693,129.5699451223021,157.40231239328668,151.4753726338781
9,31.81794807974877,30.465145609349516,171.62619123356697,159.87534886193282,153.27500649740236
10,30.018117419837303,30.940222093388275,174.59016822124713,160.91318977653845,153.34838027788257
11,29.90750953824882,36.194464307301516,179.27111037423964,162.73326113520415,153.9699876718889
12,31.35155625220981,41.043464027791835,174.26269781419012,166.15804526778788,157.60422394497215
13,31.560148996308584,44.17387303107594,170.18965847610164,168.7123032628167,161.03054068203622
14,34.78509755061753,52.74932696291356,163.59981277215084,172.19511519062155,165.5095971746505
15,32.61107152928624,49.694616604001226,163.9341693485673,173.45166968624375,166.55414203824685
16,51.493101851518006,70.56887821637189,161.5550164759144,176.77111275933686,171.66450021215755
17,50.077857016916035,69.94273502244792,160.65660944042904,177.3336520138433,172.46687982981112
18,67.1117675208306,84.24817294302323,162.03840831396354,177.63877909247273,179.64429857393586
19,72.47154716281923,88.80436893607288,162.69746926112035,176.93127442450816,179.39550537086208
20,105.04152680328396,112.86887586655381,171.55949838002903,178.32458359672233,179.1075795436412
21,117.97682175683099,123.06189965708982,174.3187364932333,178.63575874371145,178.6320771790817
22,136.88986873331166,133.32133263352202,176.2628847844863,179.10864255887594,179.80370227365046
23,163.13101223094802,146.33053100037648,162.9566296229965,179.56382862612955,179.08458744388858
24,176.71233665615662,157.84412371981696,154.1059627264948,179.91066424796472,179.00561057260572
25,165.03959658424952,147.27299931784907,161.28165465924567,179.65178098376256,179.5549000523559
26,173.6955563224025,155.93581399113856,148.7058066640691,179.44141539958673,179.18297859945565
