Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,3.567542701853161,47.718366967364844,152.76279414197845,129.18130845792373,131.40010599310796
2,87.50234946043211,27.82257394838121,84.31865263129208,121.30657510379517,110.92003671612801
3,133.59990047211073,22.93546003405147,41.75994222880737,122.68066598473882,112.628515284198
4,161.9233515578364,22.43153965367295,14.187273695263519,119.79534152861862,115.97714768885037
5,170.6783359034568,17.553146133045523,8.665407851368222,125.37151540121761,136.43586047237076
6,174.64904434682887,19.844615447623486,2.75958444381819,130.84860613034002,156.7664776508389
7,178.56881684213656,22.032060530558677,2.6235190196021962,131.03937260941643,158.05590557674864
8,175.26740056245228,23.37400895125964,1.4477172104928744,131.0565721370403,150.28842928621603
9,169.01273336292172,32.2821879577741,4.80160827932779,127.7839825240652,140.18164650692583
10,168.28879062795195,37.99793359029346,8.64091200220314,121.71128112840448,125.04381288621171
11,166.54754502558183,39.88324282129638,8.709399673912042,122.95833536103962,125.16450870986239
12,169.63378235137543,39.39139150391084,12.270369097817904,124.96000982350726,125.38080219519492
13,167.94236597095238,41.30183972545144,11.36846658661821,122.43290250440312,123.5149630656714
14,168.2996495963105,41.37234721096407,11.941741895683412,122.59221209667523,124.83905592268621
15,165.02383243226205,41.36944880475514,8.735999882717337,122.90771517921117,124.75206613126119
16,171.33405739349487,41.07447116329754,14.68075130373571,122.99942706158534,125.66353137392149
17,176.31930095053463,40.144215702674856,18.800144537797777,123.05040051594199,126.10048727550065
18,177.41136692042267,40.17883759694103,19.76901661583935,122.48093230435921,125.57141542604828
19,7.046751285047137,50.818523172919384,153.03016918927943,122.27506792343394,123.73293046831161
20,27.18791838511177,60.612437868242935,163.38282961682359,122.48592314696728,124.25102422239226
21,26.009903023388738,69.30227815549044,148.64538298533722,128.07130436435403,123.27464887417784
22,35.51089071344705,80.07536146471091,144.0004616466992,135.80601896987014,127.74509761830767
23,47.04614273872959,92.08584788429465,141.35588558743086,142.23529100833542,134.26624349879827
24,51.602133196642505,101.09941932723795,136.64922007631085,146.90498756845938,140.74417378187815
25,57.60280381856827,107.88404164501583,134.55778016406848,155.13634669178458,153.66611643054807
26,63.7076359099862,109.15248553334025,139.32479880835157,155.6065396085895,156.35865957124378
27,76.57550666988722,117.64897883483913,143.24113047788677,159.93689437902606,163.62030579228696
28,87.65873412664237,118.98643260044673,152.4404552454585,161.4585501212709,166.2481946933449
29,111.302763597763,122.74178503958984,171.55552355513805,163.1172128469025,169.02756836808223
30,147.4335488140229,132.4419684901145,162.46805168031364,164.12149299856708,172.3957490349532
31,172.90871263892137,144.79993863284807,149.35935709886104,163.89281290663422,173.35518449638562
32,177.47908158253983,147.94706524208544,143.45970882277103,165.03906275983448,174.62753128712228
33,175.4244321730346,146.43886457804857,140.34521955479502,166.46558314226291,175.99464160288275
34,178.23672913425617,143.5734668939981,142.79764365499238,165.62881229691396,176.08740547270548
35,177.86740090948732,143.42855384287066,143.38928651992273,166.04397975449504,175.8646293023251
36,177.28032769254654,142.32719650792504,143.39683290094808,165.18592342913578,174.13113180403556
37,174.17190255662246,140.1808260865025,144.9487050988868,168.42738044947916,177.0458642021978
38,178.02316867413077,145.21243444539132,145.9370239949712,167.16738861834855,173.35219749161155
39,179.74244144405017,146.43696063150776,145.68511716788498,167.1967385450152,171.59338237190806
40,171.75126404669697,142.30118363536403,149.56932253984925,167.11812000243992,168.6879448875974
41,161.7308071879383,138.92471768560011,156.3155866651731,164.51986558937256,163.64686021810664
42,147.11401725615144,126.29258099430007,158.403855249731,162.41544058013577,159.2357746617266
43,130.62993162212402,101.65139200516478,154.84110278889858,167.61133316506238,165.01665840175036
44,91.0174133082986,85.08269626711106,179.4067915440119,168.7533333269307,159.69500790768208
45,116.74947614996944,67.00754938528272,134.98775756650176,168.26192578775803,161.02133984619837
46,163.87061456882105,64.84685100011113,84.67936716785584,166.9779682232366,160.619506527185
47,162.07681508949705,45.61137356662729,66.52721372815996,165.39403818830544,160.2334264824686
48,173.51408129206177,37.54001256284354,46.48257200163582,162.03520023381344,155.10239599989276
49,162.7698567318053,24.63912471843564,41.801140116221426,156.60898909843195,151.05176736218672
50,164.28195766659718,18.271293195068523,33.38990764583257,152.52977640640293,144.44517179980767
51,166.5752490547704,13.11299418076366,25.292636679587243,150.06871190681653,139.47514687858362
52,163.41104404254568,9.332286496739925,25.81733313619586,153.4725904370039,140.12456761620243
53,161.7970574011866,8.122937452755295,26.10535139064713,155.67644545413904,143.29402497553053
