Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,162.06589979797926,9.509313510157392,11.870005210677288,130.82816812775405,107.41579808678851
2,161.5705906706852,10.183822764847191,13.091956172913768,128.84304529842305,104.1712912796458
3,162.38253079581182,11.680548097910705,13.673878929747218,128.05840591021695,107.29351890094448
4,162.89273244957315,12.356943945065929,13.826552182385344,127.7842853278298,107.9438569315697
5,164.74997588369655,15.020393478186806,14.736415728521287,126.77113241461647,113.17787844615248
6,166.02721766648511,16.13883040750777,14.606126954257311,125.4823427724932,112.6063363489575
7,162.90180489924725,18.30608800041762,20.766340822512152,130.488111748578,119.66092041744169
8,163.80647225582888,19.74268424042491,21.259477766073534,129.63403281244723,119.52746607700398
9,152.84742978648478,21.640663746311528,35.24718327230912,137.06281885855861,130.55000666388156
10,151.8727090204056,21.792488975401906,36.93385368804762,140.52098595541457,134.10551371875496
11,152.75445159640148,25.235873435710467,39.969024130678505,144.841099149818,138.28577119614255
12,155.61075458416917,25.7404297737275,37.92390287824036,146.2540177448251,139.30687943892474
13,148.4637163718429,31.930314897807058,51.81643776450756,148.25306480684074,139.59870890382172
14,75.5266702649557,31.099418520500006,125.2419619977204,151.97991423683786,141.99383126137948
15,82.43925567856668,41.98940262615073,130.13622790703212,153.29489968046806,142.368445219067
16,51.60405465201013,36.65983951360903,156.6445386998282,155.1056802418351,144.21694147063621
17,31.053609899256767,40.58887058646026,176.96175641407177,158.8591292885876,148.34545151564137
18,30.014948991731778,42.07155693318121,173.78606876412937,160.9100249752927,148.6561641666014
19,33.25507791132635,47.87354390289576,169.5433651637765,164.5710077812591,152.75066856470872
20,34.962000804429614,52.31836736786452,165.07627662682464,168.50056704199616,156.8654802467992
21,36.50660374724298,53.23959301658124,164.86659085743744,169.83640497671877,157.63266538333386
22,43.42752277380407,62.474478568472364,161.7302593763811,172.4418142540681,161.9249775004123
23,52.19610600929542,70.54950393719857,161.67851388413118,174.64646371305898,164.81362984670724
24,69.70809969747583,86.9655943173046,162.48640227026726,177.19374802734097,169.41914665917596
25,95.44363605469822,110.03340339677706,164.99393709421207,179.09684305521588,174.32056425322074
26,111.1180462551189,123.47589176163238,167.64328832930047,178.7659938078142,175.71700264458644
27,109.37584655850682,120.73707857930913,168.83389153758299,178.4049219367411,175.836098429878
28,127.71754744344177,131.02587259464693,176.38599181856205,178.22064785420173,175.4940102910533
29,146.1116292657589,142.86493305440396,176.16948500886085,177.803863317098,176.35996882160165
30,170.61292450560384,152.3804208886728,161.28818410471888,176.8460414927844,175.6459611260349
31,174.89681106313532,152.2732570379725,157.21995863640586,176.11848223175326,173.21794097464297
32,179.31558467946613,157.73381132383497,156.45083031076177,173.95754791251338,176.38357510501316
