Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,166.68015805363927,13.07010607055329,15.061405202923718,154.9528863751232,162.85100732493365
2,166.38867728738737,13.302809280148722,15.233890307647956,156.59812865583908,164.95703846172958
3,164.09381657377983,13.301701755314198,18.08327225267397,158.54509054112484,164.107802519285
4,163.41402945017543,13.5198785759406,19.32710040792054,158.94889520752417,163.72639055701364
5,157.62861826576324,16.28569233172252,29.066184213359005,161.00240589991472,163.23842491974872
6,157.68976701408764,18.136734385314718,31.680951315223904,162.0506651560395,163.17283974969482
7,57.844655999456435,26.033979426332806,141.32295532324852,163.79943684071495,160.91329352537355
8,145.93090682598256,39.55604210366876,1.3385258856848081,163.92230689088746,160.85652202927292
9,34.19595501549137,34.50217474837098,175.15918389073755,165.61971992542394,159.73341761407454
10,28.16100664457423,32.62185009845818,179.63996925538703,166.62083545617412,159.43028887007304
11,26.05903942154788,34.590274895222365,175.28103465350173,167.5540819900884,160.23940096303028
12,28.3521736882719,38.382191085319874,172.46389393941428,170.35454295288628,163.0347132990316
13,27.76610936178323,37.933227490268855,171.9066410861038,171.58300299938094,164.10887995142747
14,32.01074619794047,43.69697626218214,169.1257487322383,174.6408413939387,166.63630246267994
15,32.696489366216994,44.23112299677908,169.11136747497903,175.01431410507976,166.76256448529946
16,42.621027222832616,56.48108832461683,165.7613053814624,177.69770424035343,169.52711313003167
17,39.0994250718062,53.741988651018026,164.91421366555662,178.54695624479857,170.392136529998
18,55.82084554862497,71.13768689901974,164.3980753350189,179.34696948624472,172.7703728935169
19,87.10992018774068,98.24344046610581,168.69515956481672,179.41995674598604,176.653031385345
20,95.58125791394347,104.73461017584277,170.89142110871117,179.24079845392492,177.79087684627117
21,104.92457846420194,113.24351444656223,171.36013161015725,178.29956252548044,178.2462224845771
22,140.16961436030226,136.86879430819658,176.45984323489128,179.1432051961289,178.15217199051992
23,149.61114402395742,143.43633554689575,173.3287581728305,179.84169376716642,177.13275477287002
24,177.80123159487113,159.3241096473732,161.47941250476805,179.5883700234291,178.14536345199036
25,179.85967387846142,160.7090429686589,160.26321057510845,179.547433686387,178.13640680598445
26,174.0846188580514,155.56865363891924,160.84180700293993,179.05359300100136,177.11607404482834
27,172.39487297741982,155.28057815558014,161.89503825084617,179.29049464596943,178.81227231861664
28,169.2445766082925,155.32689185806893,164.51489191896792,179.07292582816018,179.42049641467327
