Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,152.94850706910364,8.272749356078583,21.74237522618999,155.72631666613987,165.65667629395284
2,151.89046803680614,8.153677779805887,22.626152882948304,156.41009360108643,166.96579351879492
3,152.87260991844667,7.8805171989445,20.990359848709968,156.97839315289073,167.9852801645918
4,156.2389705535665,9.188187534950186,18.743281001432194,157.31419217884815,168.15024897765363
5,157.97202659921646,10.041518727245878,17.90056804849201,157.71248521782846,168.24618062915727
6,160.1702992931785,11.141090396845534,16.85331152781025,158.0187073468356,167.90730776787882
7,162.6711659340626,12.526899729271664,16.086958261017855,158.43042258715369,167.31915646309452
8,172.7546353703663,16.75718043750504,11.353995503416876,159.99284936117894,165.93186167739395
9,174.04626507899826,16.98346327707741,10.962205765096433,160.86227428885815,165.4001839228087
10,175.20430761142148,21.913354369005624,15.879635752283459,161.8187697901254,163.19093648220726
11,168.87156178274256,22.228713362922065,23.588194289812655,162.78701312441294,161.99073136692422
12,167.88452916529016,22.36384065679702,24.9526375964931,162.8543312122811,161.13271854702893
13,73.23825692859042,25.080254140285913,122.81171056087183,162.8096644708718,159.8928318736542
14,50.70916746382983,40.83867375545225,162.61367832314835,164.24536138286592,159.80151832997754
15,34.55087181389884,36.316844479762146,175.859308912684,166.04256729522479,159.49666561022198
16,32.90826600121294,35.59434665518373,177.51399433139437,167.07879198713474,159.68767395115827
17,30.999253372033486,38.81692115026939,175.99523094562443,169.72695897847518,160.65401392138642
18,29.94347986953844,38.058779671012644,175.28617045919032,170.48713300078782,161.14457643085007
19,29.3369370259062,44.007090275099124,167.74654955742363,172.7114747964072,163.00210271029871
20,29.710085966087735,44.17637826284988,167.68632104123617,173.1252860323185,163.57367499354334
21,31.85969726265718,48.044760597922725,165.55560587783117,175.25024451012467,167.7016572173752
22,32.13638155623335,48.2112017610894,165.51876756123656,175.9620505142176,168.86992802169524
23,49.68884333036072,66.76637687395252,164.21908525756533,178.60490416053122,173.561358090504
24,53.76120447447838,72.1373077311209,162.79881392835705,179.202594725091,174.32345215228997
25,74.14291663552737,90.40893938498785,164.47590207652203,179.26030245963682,177.82520692797942
26,81.22176276060037,96.3258662012902,165.6619930660324,179.50894036070272,177.74384071130666
27,126.10054318651972,126.59757957386634,179.51409501910555,179.70131619605345,176.86992964217998
28,136.10684741977016,132.64837570079328,175.48148950609325,179.82827925757303,178.45275517258162
29,170.55642333264365,157.4039821582029,164.36249064236335,178.93504271976624,179.6538340556569
30,173.57250812561514,158.7137108650294,162.45761173195086,178.95812670844336,179.46643060389732
31,174.92725376570561,160.47188624553596,163.12218602486612,178.41337565166722,178.0394179362925
32,173.36948397996284,156.22372272563973,160.9764441232697,178.63195495234106,177.80562293363027
