Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,139.0705434907606,10.466430648940465,37.28505887354986,154.53323583426615,169.27429621271142
2,142.26180433024967,8.223847995342744,31.000940964443902,156.2224377343207,175.09168500682648
3,142.57173389390874,6.1293174275840405,28.508578195949138,157.3352009574293,178.17214929872162
4,144.36855682150897,6.4273189219300795,26.31813834089162,155.88849939375348,177.01698035259463
5,145.79514017819116,7.029685234427568,26.023484071941308,155.11709878258827,173.95174759997653
6,147.13258439293034,7.62785627468302,24.68062483013819,153.5978684804193,170.68964728488115
7,145.55371347059986,9.049580170974206,27.379779687764252,148.142205062476,161.70763993146247
8,147.1643913640774,10.73553064319667,28.043003070485945,148.85080873807422,158.44516570059588
9,150.06776311872107,11.700372237215605,26.668593374827392,148.92487257905637,156.67906732308975
10,151.2503117952411,13.762669792032524,28.54404233490142,148.91323763952323,153.16178763237468
11,153.98957018794903,16.4225597288847,29.51132019719542,151.1708516898736,152.0909502241239
12,146.57752099668645,21.079781962171264,42.62084735042855,152.66231249877666,148.62305787138177
13,144.64145548797558,22.35534872037641,46.145104494358804,152.90891376227995,148.23505911982724
14,147.78323879606967,24.904899220670014,46.66948373148595,154.23127024249644,145.43999209697927
15,149.40512787449777,26.599639123896793,46.93693842800376,154.5590911920073,146.81477813468481
16,142.7114483501148,28.778264981990638,57.24212194812323,156.4489146515025,146.33419725409337
17,95.69162467634943,30.88665836964762,107.30191570186147,158.04697325096922,146.12104247509419
18,94.256665462351,32.60705486506121,110.94301297107285,158.57718544053486,146.5000597263478
19,89.92274641016219,33.44554888084583,116.46609476107005,158.8607904264225,146.7941134293904
20,31.285877242113568,39.98795345803048,177.1376724479945,163.184128246286,152.6243897308498
21,29.681605607155984,44.26023663975339,169.19278740561938,168.59762898089056,159.78986474891698
22,32.79832684651728,46.986228944343104,168.68186200894013,170.64078839229012,161.8074590453436
23,35.64710952662192,52.2184557988019,165.37929339397553,172.0801150419569,163.47214996047705
24,39.37889658946679,57.746885568287716,163.35568554551912,174.16906436234686,167.14120835447957
25,57.281699917272704,76.25811660496268,162.2431398124108,177.8101471758623,173.86562171250068
26,61.46641838250769,80.07913178704615,162.41248428996943,178.65032393141456,175.40401896465292
27,69.51480209180941,85.7591297164215,163.94108847782007,178.9668657585347,178.84988158290201
28,94.00738953335376,107.26419712631733,166.61177174177243,179.15774479897146,177.72919826501112
29,100.06473642156205,111.23385355007639,168.80964994077908,179.0007724079631,178.36265341084624
30,121.04335441424288,123.09436900410189,178.0433010117696,178.62240342603542,179.73979927573862
31,161.34618634600844,148.45602150633945,166.02131891957686,179.2699859764397,179.67864746652995
32,179.93763100161053,157.80180883593457,156.04634354527803,179.5197969590011,179.85925711783884
33,172.698328059212,157.16183935193195,147.63134345504108,177.52255846003212,176.76361526075746
34,169.00223181636218,160.60078907294522,147.78209595190972,177.8609246470562,177.8661098182546
