Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,140.81020468994538,17.10124071175028,45.63978583457726,136.51782586749368,114.39650285248159
2,140.97007562514472,16.89697948852232,45.52687436384235,136.71161262197876,114.87250232612975
3,140.4481541283396,19.10180116690107,48.5464366249449,139.5105705221199,115.88648999740867
4,113.78127898157094,29.92471280222381,86.78517761132464,145.24746054807324,121.95594524354358
5,110.72585302995937,31.181289602370768,91.10467865276148,146.1304596857828,122.90400312420785
6,74.68983531019285,29.646991840252674,126.1654912319083,149.08325879183644,125.77987652552665
7,53.63262810551893,39.86666201190457,159.3955317204687,152.68919172910785,130.73057488358435
8,53.6101193921942,41.84307018774237,161.77079916853893,152.63602390509163,129.32962067832162
9,44.58323476753609,47.56191284873635,176.48079781581052,153.7598429354817,131.99038441843396
10,45.00044057724852,54.748224171490726,175.50003067430802,156.7877477877412,135.82161351811476
11,48.66254158143675,62.00641535360319,170.20027366885253,162.59776117971708,143.19715912010957
12,48.62104445193697,61.2243044417762,170.46501979554247,164.35259271002627,144.56630736957885
13,63.14779776717651,78.4400690082241,166.0942930848169,169.1235855464493,150.24647411310121
14,70.93800097115445,87.08643967918056,164.60414212225757,172.3784256580474,156.39621726928377
15,86.07724592038326,103.15550727777831,163.6386768303731,175.74199600865165,163.70827570825182
16,90.99941884520229,108.84164177822034,163.1344368530949,175.8854028505171,165.83169871024472
17,95.83876730629163,112.38733624089282,164.42404907786522,177.87125996585357,169.98137932536088
18,104.334190531942,117.90335502829137,167.43796434496087,179.1562276006694,173.0021047553008
19,120.47602665537858,128.4721065104639,172.8720443696581,179.6306082425017,174.087824325781
20,147.30252262653337,143.41594803916644,175.8851430176866,178.15248027662525,177.6709723174172
21,153.9096496361633,145.88353806294688,172.1086690104624,177.30915316436835,178.6479822555651
22,169.41661826502934,152.97062507819277,163.98549295282817,177.28117594135855,178.35340733087645
23,172.5115760238368,151.44699947986453,159.53481530940192,176.57910383364285,179.38354838678643
24,170.70586600832075,149.88701456962102,159.1700455833789,178.08736387263377,178.06576850712847
25,163.5542596614173,145.85224823256738,161.50736858084193,178.9593738671681,170.0179384705451
26,164.54523001218422,148.04559080133475,162.54017758968106,178.3694537296029,163.34543998885496
27,165.40789747918734,149.06273296241764,162.40497700032856,177.59038027298467,162.7173628685209
