Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,82.67072272085736,15.938688647814189,84.38037273181003,151.0143867794214,160.56807739970975
2,75.70815729350129,17.710951886876693,88.72345667487608,155.30748698470867,162.86656530985437
3,58.44291210359449,18.973937831834142,105.4326370268406,156.48742482983175,163.85863226341928
4,38.80517578534391,23.970367683899376,121.30972455094786,155.1633445901752,163.67846073262373
5,36.25689004207047,27.455612151365766,119.81501385159899,157.97153793701145,165.88547315558722
6,30.079551475091144,30.859692609777184,122.09342078832336,159.69131453776382,167.02689916557694
7,39.677878329564024,30.046986788574596,113.74787728514302,159.73608461260005,166.81522662888284
8,61.51701540997046,27.139415865741814,95.12467329270022,160.61926287924402,168.6835813970631
9,75.39050561428516,27.308362340142608,79.65938785714363,164.22669116911146,171.17725574385068
10,124.33015644810662,26.88027402623856,31.663925929431173,162.92951104276148,171.66163226273997
11,142.96745473930633,28.7369360171819,10.69210298599634,161.81043789417134,171.64673826716378
12,143.6988650145272,33.607537014735655,4.436687726825302,164.9068570166691,179.3066552460852
13,137.59663051841432,35.19721359337958,9.468900118222146,166.68485699036762,177.92800829182005
14,142.99242955936006,36.61757663871413,3.456481347658501,166.11762977334587,177.2378449837806
15,140.28256278162965,38.789470321435466,4.011262596217064,164.61479162563194,179.98764234177915
16,69.74999112776587,35.64322071349878,76.73852570765942,165.3081801009744,177.70278670272822
17,39.29360277270031,40.73839515447048,104.52593069778796,165.14228564362506,179.98485901055142
18,21.172771141749024,47.97408006960467,157.10408484895342,165.88176911349777,179.744061815501
19,55.18482221911047,70.7879343000844,166.01755887616616,170.376189976885,178.57917547410332
20,55.46578732274794,79.72363765118293,151.18310578016013,175.7606753049283,179.57771602435204
21,168.29217081898526,145.78411841020863,149.9664272914956,169.87729712948453,164.3949975686369
22,46.80549360459753,68.57778508844764,150.6096589022921,176.83118637712195,163.70026181527297
23,72.38688486724173,98.78716843393468,147.78760574319494,175.64875026899335,174.75831217240125
24,87.90902353070683,102.83049530550906,159.25472708465648,170.80993467764466,170.3776679314196
25,117.87513771926379,121.60958264400837,172.56542084453787,166.98815763990592,168.72712159275702
26,142.21400548573348,136.872628858524,177.25338268425836,167.33066463086814,168.6870881396198
27,150.20440006261268,142.65539535821281,173.99107035354584,167.76903722755807,169.8771751964582
28,151.57731209571963,144.89925726972945,175.09586233097568,168.12801272232142,169.62734181894444
29,146.10176291439876,139.965379840658,175.4111810359863,167.9644303574288,169.16666854620013
30,145.85866865531935,143.622288897467,179.1410319878567,167.90206916789413,168.02660661151447
31,139.77486734163872,144.2647774792635,175.15972166190753,166.5765435082604,167.82126700723418
32,139.4499707467635,144.64613697108106,174.48253012486705,167.39860260119013,167.2581818926437
33,147.08556399773494,155.1101979652434,171.46963946819437,168.4852645467254,169.86573353743748
34,143.93423207807268,152.54231265851996,170.6016403449831,168.82837491347865,176.16784749661466
35,153.6193688127355,153.22397233195278,138.1556803899526,179.55026290584883,167.94192015927013
36,79.40951880504075,118.58679376843455,141.3708748379726,161.32002734518787,177.55124993997507
37,36.463386413703724,98.62145265306138,118.64045742612336,164.6810000296719,176.91080252139128
38,13.33226110538586,70.80232595708627,123.39666520668112,163.86090450128563,177.65987622367365
39,11.105396225457921,53.76899195099323,137.86977519624497,164.592053821873,175.80417658819945
40,10.3139577334046,34.58442899249099,154.7206037701561,164.65533514348581,174.86772220961515
41,36.57127722718838,34.61779312700769,179.96599765837144,164.8329349121511,175.40255252220427
42,144.2650824393161,28.645895777136147,66.83458374157944,161.55695769998184,179.01644361847787
43,175.37607122308518,22.368128060440338,30.05525950112759,162.1015207564243,175.26323982797925
44,170.4945083299117,19.62943270991259,31.36041359372898,158.52028011793405,174.964449979939
45,164.47427502033997,18.532580017876565,36.04185407285973,154.91227739791333,176.81448120339553
46,171.02213009411977,17.510100968177646,29.485094283692508,155.96491856775089,176.02906083882525
47,169.96286781752977,12.008603708202514,25.208490122288843,154.02992239735048,177.51775841912175
48,169.65407482859933,8.399897825352049,21.45710570920137,151.3322989382566,177.9133901469948
