Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,174.50379740051255,10.264262774951538,5.745137004682483,172.5596876339022,177.7000436176952
2,170.36630018962552,9.729459628647056,8.827867658993227,169.69863738157306,179.47835314428104
3,166.66153750103618,8.929181414280876,11.861752469251392,161.19708914018946,176.06047325966313
4,162.8677518262547,8.56434492114933,15.519357768516986,153.83249079106545,171.75573608312556
5,154.8041953904445,7.729435834560995,22.709442288096625,152.56889118916692,173.49083384909466
6,153.2381686094662,8.142542281824465,27.181792414359936,160.81194358058664,177.4106995145329
7,154.45934802748715,4.7728421174664435,24.50734337709784,168.86376542434834,156.51917339996243
8,160.46587980276047,6.605091906379986,19.489640948704654,176.87712354957156,168.43390219323814
9,156.81065914152447,4.253589978615076,18.130389331670518,176.92857554148227,141.31530068912997
10,158.3817601291303,2.600355659216653,20.76893914785942,163.31950534993956,101.01578430432146
11,138.70539840893125,5.301750501864828,25.64205072909404,158.66923659529127,102.1669315543927
