Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,136.0112477489913,9.554360673412821,51.77519183215513,154.72877752214737,156.49157153684595
2,137.80940083316682,9.647223677249148,49.82521223113756,155.76591993463185,158.13092456399315
3,140.8973009468652,10.73551677157156,47.64380549487778,155.81733563033802,154.76117070902328
4,138.0729710107209,12.914829942939328,53.23758798259198,157.17609448819465,151.67662741049713
5,97.37853721711785,18.19868517937455,99.33984812128719,158.856097210351,150.0682764289484
6,94.74074742533764,19.522209317271557,103.78156399965994,159.629636916587,150.45033879975819
7,78.29408333845439,21.992953986168438,122.15719220039472,159.4871423939956,150.6510607523398
8,44.47523353993836,29.637082430748993,165.01975972524923,162.47006111955096,153.3415240788705
9,43.555032806935024,28.265806427498223,164.78724756370275,163.14723902165295,153.98860631102391
10,29.598046200819397,33.64452342963172,175.0029391853574,166.52087665624956,159.01161096850143
11,34.20853077353728,39.46106988476388,173.12561963572873,169.48004444429282,163.0540424260096
12,34.24779292495931,42.04088163063757,170.60035255198173,172.05992809115764,168.3039738673076
13,31.497620350658963,38.96671805860172,170.38405020373602,172.75020743548603,167.65245319906464
14,37.70539990109458,46.87127171759659,168.71736994687978,174.71343781608147,172.28256005504485
15,36.350398150660695,48.341707525804125,165.41857784109885,178.88977081311188,178.22903938188213
16,33.709203669084005,47.457659308777814,163.90890293388782,178.63361384541722,178.08579911807263
17,41.04120246853924,55.1523298291926,163.675670529933,179.76269071213315,178.85469245102587
18,41.100652499522,53.94305580841708,165.70199362233677,178.80806820552115,177.97698375585406
19,62.88371301991342,73.66272500951436,167.23337452999644,179.77314881512794,178.09670659989814
20,67.72988576924622,78.46873463894588,167.26898251832108,179.8627820523341,177.260951848083
21,99.83990287438533,109.76597731796184,167.79176046010065,179.0682032856283,179.3393827592528
22,99.86774823237653,109.53534655263367,168.05243186377373,178.53485950036028,179.57710633130355
23,146.50150032278202,145.59005742200205,178.94490823101592,179.28174347280387,179.54612974498917
24,145.27413416270323,144.79549772839079,178.66430348239504,179.7240281206351,179.51140178147799
25,157.0014091562478,154.19539911364478,178.8371067754419,179.4179278436216,178.28587694779037
26,172.9331560994481,161.18454622687537,169.0184837388006,178.30633016045348,178.8966435312875
27,161.62139655066616,151.26603258975337,170.16603538868284,178.32402566771157,179.98047992660628
28,173.67954145267296,156.50524868236676,163.47046230644767,178.2447813122379,179.21406510646122
29,169.08418027725799,154.84766351371914,166.38713382907952,176.98758927432925,178.2108692726893
30,172.76126613336632,157.7523437295944,165.14846024009225,175.70995266182481,178.6086351370009
31,157.76045531808361,148.682043109751,170.9637055779244,176.65400524912013,179.44580579366286
32,145.80153757288141,141.04122210176845,174.93539658669255,175.90510587487375,179.75748722735446
33,155.48485697820416,145.1559437594088,169.9195581346002,176.89510390585482,178.9112643357621
