Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,21.84415406181023,69.60391567204806,137.40357093858535,152.75829344238275,139.03360413989856
2,17.113674850235807,59.71819550748274,110.77310728003461,149.12751804159257,136.47074602019785
3,22.25330564478489,46.78038610756466,121.23826328656726,142.21463749624445,131.9263783943003
4,32.12482527901764,45.088513551423695,114.57229371162956,140.54255948661597,138.10102935722148
5,45.86360925937464,44.693576412506644,101.7235178550054,140.46927125388854,146.47277380921597
6,66.09271728857149,41.930640611385165,86.67171596945808,138.04715441360995,156.86715811740046
7,85.91832021938205,37.59868245833384,68.86128819006656,142.27199667740697,171.50734724691577
8,118.74636531853365,39.01978061566722,37.359217172059964,133.5468072770157,158.45693408403332
9,139.0573285558993,39.653961383080144,16.193598543777092,132.86287374761852,155.0292059501419
10,123.60010813926243,43.99165436706371,28.223157953874964,130.4585212354265,148.80461539079747
11,120.98658477717987,47.47338739752482,27.717728625774168,127.46131155667766,140.62316936978448
12,48.17110219120991,51.01725775321388,95.45569761858852,127.93542901318683,138.66027475737243
13,23.367831934162492,59.01148117900055,156.72704288939363,130.77927296503157,138.57636631640617
14,15.172062007325714,61.516853460053404,141.36703528637,136.74230513769163,135.52190075555495
15,19.901793503809408,71.83595317044718,131.81515927473208,143.8807340850991,141.02344113978106
16,59.729311323446645,95.46224323847026,146.15070142600277,147.29823953539142,145.45384737524464
17,47.265668010359846,90.81475502962036,138.1776011834848,153.16709585204313,155.89127835520733
18,51.09172775993319,99.08597618369292,135.4137869440314,153.6864806021946,159.3836879983412
19,53.73762484828197,105.01738881324319,131.19446986363116,154.42670712327504,159.6126984269393
20,66.21399261270277,114.342887883572,134.01309034001446,156.49438692213278,164.29687145506094
21,90.84719948620558,120.3891790858001,152.65927381430498,158.44430096405958,168.0056070136502
22,99.55558451763002,117.46350807029589,163.98669358846854,159.52093847067883,169.8798585028665
23,124.82122339910414,120.4076018039989,174.51122049154338,161.750284092596,172.56465493871912
24,122.92520519872491,118.48495809081234,174.19544280347526,162.91457851223763,175.11630665190316
25,90.69162933834059,112.78740067146853,161.35189167057638,161.4247970587617,175.1226547749374
26,96.76188053824859,113.81443083488,165.79363191991848,161.75541141214876,175.73057486673727
27,120.57743079050714,122.44283518353771,178.48523614254893,164.21333245333284,176.21960053336736
28,123.46047337152798,122.54212428355054,179.7095550796431,163.48500930129026,174.48446986582272
29,131.02725309064743,121.39582178631764,172.81747404484116,164.0849975507616,173.18524213336897
30,140.6447845284194,128.46593841681874,170.11968039010495,166.2570730025047,175.31514314863534
31,152.3498159092909,136.89212983705832,166.1105518180052,164.77218921827352,174.23983629257327
32,152.8288493333732,138.37835935557382,166.9168623573712,162.02796082899312,167.90476132397933
33,142.67309890282976,128.08644630547866,166.290121616652,157.369763814868,159.0301375016483
34,149.49604856705815,125.67024246890504,157.21556838548094,154.69247351421922,155.30746349419658
35,144.197913049536,121.19493706845813,157.7495932290392,150.3985390786732,145.6743129863502
36,145.98177503361714,119.86855293234169,155.55807065638592,149.25684763709825,140.93219654567454
37,68.79752744611602,104.50934663616849,142.07190756141614,151.32770386810188,142.15780509717294
38,79.69833779665869,52.59512192368976,154.48282951908706,153.45411298638163,147.75517954112684
39,119.1850235806569,48.00054897051683,109.61525138803658,153.29299472865003,151.43056510121994
40,127.29004451102928,40.443130848644444,93.72183393448512,152.9474230684702,151.87251617420773
41,122.84653992990205,40.14271573828672,97.93634118914451,153.1870316813192,153.3801929745107
