Frame,Elbow_Angle,Shoulder_Angle,Wrist_Angle,Hip_Angle,Knee_Angle
1,147.7647201748359,19.34060767383588,19.203458178805192,172.6190895626748,173.72502382983006
2,147.1619007734975,19.778130885206302,19.31220445990611,172.63326411645536,173.65172922285714
3,147.0197999104261,18.564870495700397,20.55489341779157,172.73594111678867,173.67121991346173
4,147.35937442262642,18.02257089764776,20.67363461906769,172.70588789165208,173.73225634111336
5,144.34236097998473,17.706926919682815,23.883683010562578,172.8072220685606,174.01004476776976
6,121.44033088364125,17.458140196029422,46.93572674145947,173.04773167937023,174.6703157170499
7,109.86038847326996,17.545838409790186,58.30573175945003,173.2595901462831,174.9561688229511
8,19.09025559237162,19.643748082313614,146.59940065360024,173.49451404867685,175.92102954642803
9,18.895545820454167,20.63725996384256,145.64191478373294,173.5801463997923,176.25378156966573
10,3.741685696092968,23.600011379851583,163.3396883475525,174.57110498541334,179.09163524487866
11,4.472409815841191,24.055624398126408,162.85735799427636,175.14298750576611,179.98582370303595
12,10.774662097316902,22.0439533775555,170.5962233318726,176.42846495545652,179.8290863098361
13,14.835700040309488,25.19977720248114,171.3247515376505,176.9403493744935,179.7960650058642
14,14.869971389063524,25.53375980554781,171.08436409706093,176.98312579150874,179.9681116805957
15,12.998321331887599,25.0224061473963,170.0072605970436,177.39021099570542,179.53726711693525
16,15.248384797989416,27.973715871694093,169.37879863750646,177.09042283306584,179.86806235787535
17,28.188623247947394,43.05689371306653,166.94408801275287,177.41926971935584,179.75923382530564
18,34.42723733916363,49.72108018588997,166.36976079929389,177.94040658050292,179.92601154795676
19,50.51054558537457,66.95057723126446,164.8027229366855,178.52013692389562,179.87803641819096
20,94.18644424698039,107.2161416533916,167.27001032309082,179.38701124252205,179.5373034951257
21,98.21019294443413,109.47529047929478,168.68555601927739,179.69510802020088,179.20852925197053
22,130.18687083837614,136.63593367785785,173.78610581251218,179.25212325056884,178.53034880399483
23,138.08398679646908,143.37147909163062,175.2345446437311,178.81813880764565,178.0610005561106
24,165.20162052632188,160.57979833233793,174.4719789827119,178.08250859467535,177.48337844044826
25,171.47363931336602,164.55426765438557,171.79598335656237,177.96925712725658,177.94093403092205
26,179.46907222795758,169.990672058027,168.30267291669153,178.3967184784725,178.5098085518518
